Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-01-01,ONMOBILE,EQ,30.55,30.85,31.1,30.1,30.6,30.5,30.68,57405,176117865000.0,392,30746,0.5356000000000001
2020-01-02,ONMOBILE,EQ,30.5,30.9,32.6,30.4,31.55,31.6,31.52,160300,505324640000.00006,1214,72669,0.4533
2020-01-03,ONMOBILE,EQ,31.6,31.4,32.45,30.8,31.0,31.0,31.43,107410,337621640000.0,569,68427,0.6371
2020-01-06,ONMOBILE,EQ,31.0,31.15,31.15,29.5,29.6,29.7,29.89,129874,388233715000.0,817,95661,0.7366
2020-01-07,ONMOBILE,EQ,29.7,30.0,30.8,29.75,30.05,29.9,30.0,80123,240348765000.0,503,54261,0.6772
2020-01-08,ONMOBILE,EQ,29.9,29.9,30.4,29.55,30.1,30.15,30.02,69523,208725890000.0,415,38390,0.5522
2020-01-09,ONMOBILE,EQ,30.15,30.9,30.9,30.05,30.3,30.25,30.35,70008,212507090000.0,563,38675,0.5524
2020-01-10,ONMOBILE,EQ,30.25,30.2,31.35,30.2,30.4,30.3,30.7,127028,389931355000.0,859,57428,0.4521
2020-01-13,ONMOBILE,EQ,30.3,30.3,33.4,30.3,33.25,32.75,32.36,647347,2094743805000.0,2716,233838,0.36119999999999997
2020-01-14,ONMOBILE,EQ,32.75,33.35,34.5,31.4,31.75,31.9,33.25,575397,1913281035000.0002,2733,253278,0.44020000000000004
2020-01-15,ONMOBILE,EQ,31.9,32.0,32.3,31.3,31.6,31.6,31.62,74528,235694479999.99997,525,53645,0.7198000000000001
2020-01-16,ONMOBILE,EQ,31.6,31.6,33.2,31.6,32.35,32.2,32.42,191455,620678045000.0,1008,113539,0.593
2020-01-17,ONMOBILE,EQ,32.2,32.8,32.8,31.05,31.25,31.65,31.79,99401,316043745000.0,781,63757,0.6414
2020-01-20,ONMOBILE,EQ,31.65,32.3,32.3,30.9,30.9,31.05,31.3,48407,151535435000.0,383,36692,0.758
2020-01-21,ONMOBILE,EQ,31.05,31.8,31.8,30.35,30.9,30.85,30.88,71665,221288335000.0,547,53641,0.7484999999999999
2020-01-22,ONMOBILE,EQ,30.85,31.3,31.35,29.3,29.85,29.85,30.01,296439,889744775000.0,1158,142112,0.4794
2020-01-23,ONMOBILE,EQ,29.85,29.8,30.5,29.55,30.0,29.9,30.07,57417,172634765000.0,397,33245,0.579
2020-01-24,ONMOBILE,EQ,29.9,30.0,30.8,29.7,30.45,30.45,30.43,83335,253585929999.99997,609,52921,0.635
